iter	Passed	Remaining
398	321704	484572
399	322546	483820
400	323413	483103
401	324245	482335
402	325065	481548
403	325904	480789
404	326708	479978
405	327523	479184
406	328305	478341
407	329106	477527
408	329913	476721
409	330714	475905
410	331524	475104
411	332295	474247
412	333142	473498
413	333913	472641
414	334768	471902
415	335594	471122
416	336404	470321
417	337221	469528
418	338029	468723
419	338842	467925
420	339644	467112
421	340439	466289
422	341257	465497
423	342065	464692
424	342825	463823
425	343635	463020
426	344456	462233
427	345213	461359
428	346014	460546
429	346910	459858
430	347754	459100
431	348533	458256
432	349318	457421
433	350118	456606
434	350937	455815
435	351854	455150
436	352761	454473
437	353790	453950
438	354764	453355
439	355727	452744
440	356645	452074
441	357451	451262
442	358284	450483
443	359091	449672
444	359861	448815
445	360677	448016
446	361461	447177
447	362250	446344
448	363045	445519
449	363822	444671
450	364661	443900
451	365454	443072
452	366255	442255
453	367051	441432
454	367818	440574
455	368641	439782
456	369450	438974
457	370257	438164
458	371027	437311
459	371831	436497
460	372632	435680
461	373487	434926
462	374321	434148
463	375108	433315
464	375925	432516
465	376714	431685
466	377480	430828
467	378276	430006
468	379056	429166
469	379842	428332
470	380660	427535
471	381417	426670
472	382186	425818
473	382950	424961
474	383784	424182
475	384574	423355
476	385350	422512
477	386125	421668
478	386892	420815
479	387710	420019
480	388554	419250
481	389413	418498
482	390210	417678
483	391084	416941
484	391932	416176
485	392739	415366
486	393499	414508
487	394295	413686
488	395093	412868
489	395882	412040
490	396678	411221
491	397453	410378
492	398205	409513
493	398979	408670
494	399738	407813
495	400536	406997
496	401300	406144
497	402053	405283
498	402822	404437
499	403590	403590
500	404367	402752
501	405128	401900
502	405904	401062
503	406668	400213
504	407445	399377
505	408243	398561
506	409015	397721
507	409820	396913
508	410614	396093
509	411376	395244
510	412174	394429
511	412945	393589
512	413776	392805
513	414532	391951
514	415311	391118
515	416161	390352
516	416993	389570
517	417822	388784
518	418686	388031
519	419523	387252
520	420397	386507
521	421191	385688
522	421978	384863
523	422789	384061
524	423596	383254
525	424465	382502
526	425374	381787
527	426253	381044
528	427097	380270
529	427921	379477
530	428744	378683
531	429596	377915
532	430402	377106
533	431256	376340
534	432061	375530
535	432908	374756
536	433717	373949
537	434549	373163
538	435416	372406
539	436300	371663
540	437241	370968
541	438050	370160
542	438864	369357
543	439661	368539
544	440466	367728
545	441266	366914
546	442057	366091
547	442899	365311
548	443696	364494
549	444484	363668
550	445277	362848
551	446056	362017
552	446885	361225
553	447725	360442
554	448718	359782
555	449543	358987
556	450374	358197
557	451154	357366
558	451950	356547
559	452787	355761
560	453601	354957
561	454418	354155
562	455201	353326
563	455971	352488
564	456827	351716
565	457608	350886
566	458418	350079
567	459192	349244
568	459964	348409
569	460728	347567
570	461502	346733
571	462274	345897
572	463039	345057
573	463825	344232
574	464663	343446
575	465628	342754
576	466518	342005
577	467455	341290
578	468240	340465
579	469126	339712
580	469986	338940
581	470861	338178
582	471691	337385
583	472550	336611
584	473409	335837
585	474332	335108
586	475209	334346
587	476067	333571
588	476925	332795
589	477740	331989
590	478545	331176
591	479374	330379
592	480174	329563
593	480993	328759
594	481886	328006
595	482756	327237
596	483563	326425
597	484392	325628
598	485225	324833
599	486053	324035
600	486865	323226
601	487763	322475
602	488634	321704
603	489500	320930
604	490312	320121
605	491183	319350
606	491984	318533
607	492832	317747
608	493638	316933
609	494465	316133
610	495286	315329
611	496132	314541
612	496970	313747
613	497802	312950
614	498657	312167
615	499469	311357
616	500298	310558
617	501122	309755
618	501953	308957
619	502773	308151
620	503563	307327
621	504388	306525
622	505237	305737
