iter	MultiClass
0	2.025517032
1	1.985539398
2	1.956755264
3	1.931796897
4	1.907132601
5	1.887922117
6	1.870471013
7	1.854009337
8	1.841811805
9	1.83065959
10	1.822316292
11	1.81247734
12	1.804165569
13	1.796049259
14	1.789661313
15	1.783494573
16	1.77922974
17	1.774878563
18	1.770834727
19	1.765757355
20	1.761336995
21	1.757934813
22	1.754881732
23	1.751015917
24	1.748542194
25	1.745426752
26	1.742762409
27	1.739985293
28	1.737719713
29	1.735040915
30	1.73244014
31	1.729753847
32	1.72762063
33	1.725036545
34	1.722784945
35	1.720865585
36	1.718592649
37	1.716897274
38	1.714721613
39	1.7122856
40	1.709781156
41	1.708000019
42	1.706242786
43	1.703879293
44	1.701663736
45	1.699860453
46	1.698307246
47	1.696322973
48	1.694031521
49	1.693138131
50	1.691408013
51	1.689502085
52	1.688475494
53	1.686525928
54	1.684950132
55	1.683434955
56	1.681124179
57	1.680026178
58	1.678634467
59	1.677648549
60	1.67654025
61	1.675042441
62	1.673565119
63	1.672346551
64	1.670850171
65	1.669677272
66	1.668215078
67	1.667095416
68	1.664629219
69	1.663162447
70	1.661628545
71	1.66029822
72	1.659086471
73	1.657964243
74	1.656650371
75	1.654982697
76	1.653745916
77	1.653024478
78	1.651586535
79	1.650075086
80	1.648533554
81	1.647081519
82	1.645893908
83	1.644607017
84	1.643483119
85	1.642194446
86	1.641407723
87	1.640176252
88	1.639025785
89	1.637917582
90	1.636120663
91	1.635231643
92	1.634286389
93	1.633341727
94	1.632329981
95	1.631065397
96	1.630039957
97	1.628929938
98	1.627795806
99	1.626447615
100	1.625182681
101	1.623846596
102	1.622823228
103	1.621789051
104	1.620539508
105	1.619434547
106	1.618037498
107	1.61645936
108	1.61493738
109	1.613742592
110	1.612792857
111	1.61169587
112	1.610327585
113	1.609247081
114	1.608160094
115	1.607030164
116	1.60567083
117	1.604111752
118	1.60291598
119	1.602136748
120	1.600875484
121	1.599523334
122	1.598391433
123	1.596916748
124	1.595741717
125	1.594191625
126	1.593183092
127	1.59230621
128	1.59132753
129	1.58991084
130	1.588758195
131	1.587670033
132	1.586374432
133	1.585531484
134	1.583960859
135	1.583021053
136	1.581738586
137	1.580605755
138	1.579559754
139	1.578376295
140	1.577336417
141	1.576035376
142	1.574964042
143	1.573906026
144	1.572709997
145	1.571500357
146	1.570530927
147	1.569304622
148	1.567810643
149	1.566908573
150	1.565415643
151	1.56447996
152	1.563737422
153	1.563028444
154	1.56218285
155	1.561212218
156	1.560151356
157	1.55907058
158	1.558026135
159	1.557240638
160	1.556309092
161	1.55534534
162	1.554624919
163	1.553827041
164	1.552982744
165	1.552083177
166	1.55107782
167	1.549947079
168	1.549011829
169	1.548338451
170	1.547179062
171	1.546687568
172	1.545851592
173	1.544788585
174	1.543850714
175	1.542838486
176	1.541961185
177	1.540856772
178	1.539941712
179	1.539089575
180	1.538235089
181	1.53724753
182	1.536691136
183	1.535767974
184	1.535101375
185	1.534135659
186	1.533425731
187	1.532921133
188	1.532208201
189	1.531415442
190	1.530829065
191	1.530050709
192	1.52915148
193	1.528273116
194	1.527564243
195	1.526664941
196	1.525846966
197	1.525194458
198	1.524593551
199	1.523854043
