iter	MultiClass
200	1.522838082
201	1.522204821
202	1.521217749
203	1.520357717
204	1.519541198
205	1.518462553
206	1.517600884
207	1.517012174
208	1.516157517
209	1.515726223
210	1.515001332
211	1.514356117
212	1.513632517
213	1.512871429
214	1.511948736
215	1.511262163
216	1.510653718
217	1.509966216
218	1.509300204
219	1.508699554
220	1.507862043
221	1.507233417
222	1.506561605
223	1.505995313
224	1.505266543
225	1.504586226
226	1.503995912
227	1.503379071
228	1.502491792
229	1.501987048
230	1.501303
231	1.500709773
232	1.499874182
233	1.499194834
234	1.498300109
235	1.49771241
236	1.497258849
237	1.496570384
238	1.496031784
239	1.495550191
240	1.494918422
241	1.49417275
242	1.49346517
243	1.492589084
244	1.492329706
245	1.491681725
246	1.491195747
247	1.490526624
248	1.48994931
249	1.489372233
250	1.488846148
251	1.488191972
252	1.487532112
253	1.486828739
254	1.486322276
255	1.486000045
256	1.485375334
257	1.484591968
258	1.483769126
259	1.483128493
260	1.482909228
261	1.482058122
262	1.481578088
263	1.480981533
264	1.480433443
265	1.479931904
266	1.479107664
267	1.478399323
268	1.477775369
269	1.477097347
270	1.476503217
271	1.475962395
272	1.475385065
273	1.474790538
274	1.474254521
275	1.473608157
276	1.472970841
277	1.472526652
278	1.471814891
279	1.471329974
280	1.470625495
281	1.470013445
282	1.469423087
283	1.468812206
284	1.468162527
285	1.467533568
286	1.466969292
287	1.466216404
288	1.46585597
289	1.465410605
290	1.465052717
291	1.464512227
292	1.46409604
293	1.463737975
294	1.463210098
295	1.463004093
296	1.462453728
297	1.461958202
298	1.461300045
299	1.460971083
300	1.460559016
301	1.460118734
302	1.459497433
303	1.459050107
304	1.458305232
305	1.45798226
306	1.457765609
307	1.456994868
308	1.456597563
309	1.455928705
310	1.455424572
311	1.454982909
312	1.454570499
313	1.454122773
314	1.453430023
315	1.45281863
316	1.452470362
317	1.451909775
318	1.451601384
319	1.451251693
320	1.450926317
321	1.450642402
322	1.450196052
323	1.449682082
324	1.449435834
325	1.448980381
326	1.448428139
327	1.447844612
328	1.447340326
329	1.446929361
330	1.446627491
331	1.44629583
332	1.445782219
333	1.445293203
334	1.444974207
335	1.444573091
336	1.444097311
337	1.44360538
338	1.442769135
339	1.442334363
340	1.441884003
341	1.44134509
342	1.440789845
343	1.440198957
344	1.439649602
345	1.439082701
346	1.438472929
347	1.437895363
348	1.437561869
349	1.43724755
350	1.436651705
351	1.436237902
352	1.435788869
353	1.435132388
354	1.434595276
355	1.43418909
356	1.43379447
357	1.433275068
358	1.432676587
359	1.432254655
360	1.431612737
361	1.431238672
362	1.430784488
363	1.430428957
364	1.430240763
365	1.429922666
366	1.429455916
367	1.428758594
368	1.428412863
369	1.427802026
370	1.427400336
371	1.426786763
372	1.426287282
373	1.425886948
374	1.42512714
375	1.424851321
376	1.424418139
377	1.423795052
378	1.423148157
379	1.422800465
380	1.422477222
381	1.421982321
382	1.421462366
383	1.421253326
384	1.420706927
385	1.42035167
386	1.420087225
387	1.419634994
388	1.419061652
389	1.418775289
390	1.418260232
391	1.417752001
392	1.417285724
393	1.416855817
394	1.416273535
395	1.415833193
396	1.415284076
397	1.414799994
398	1.41449539
399	1.413934324
400	1.413652698
401	1.413214431
402	1.412878615
403	1.412376912
404	1.412018733
405	1.411729894
406	1.411368713
407	1.410895183
408	1.410294151
409	1.409991024
410	1.409336419
411	1.408882874
412	1.40855484
413	1.408165174
414	1.407718132
415	1.407430997
416	1.407133922
417	1.406837499
418	1.406448706
419	1.406102142
420	1.405741484
421	1.405367996
422	1.405164523
423	1.404917034
424	1.4044887
425	1.40428437
426	1.403803841
427	1.403425216
428	1.40303473
429	1.402618533
430	1.4022322
431	1.401946107
432	1.401693119
433	1.401410486
434	1.40080463
435	1.400479731
436	1.400187507
437	1.399872866
438	1.39962221
439	1.399345744
440	1.398645312
441	1.398412343
442	1.397598544
443	1.397301747
444	1.396898098
445	1.396570629
446	1.39629027
447	1.395876318
448	1.395442633
449	1.395148167
450	1.394677159
451	1.394178004
452	1.393990695
453	1.393740811
454	1.393472507
455	1.392909114
456	1.392684708
457	1.392390454
458	1.392255364
459	1.391803021
460	1.391614945
461	1.391194658
462	1.390797781
463	1.390619242
464	1.390298286
465	1.389929529
466	1.389555244
467	1.389145039
468	1.388877887
469	1.388682534
470	1.38837773
471	1.388063608
472	1.387651026
473	1.387169717
474	1.386779263
475	1.386294045
476	1.386014451
477	1.385714032
478	1.385521439
479	1.384975135
480	1.384490656
481	1.384010744
482	1.383734466
483	1.383426939
484	1.38313963
485	1.382770485
486	1.382573216
487	1.382289984
488	1.381909563
489	1.381481166
490	1.381095132
491	1.380744677
492	1.380341408
493	1.380109315
494	1.379939296
495	1.379496035
496	1.379319354
497	1.378993006
498	1.378765822
499	1.378344743
500	1.377983462
501	1.377648333
502	1.377240649
503	1.376980082
504	1.376727205
505	1.376164862
506	1.376037447
507	1.375343357
508	1.374886904
509	1.374586512
510	1.374189331
511	1.373843522
512	1.373628591
513	1.373326586
514	1.373172035
515	1.372925867
516	1.372551973
517	1.372301734
518	1.371684622
519	1.371140637
520	1.370924764
521	1.370385077
522	1.370174644
523	1.369832019
524	1.36948559
525	1.369086157
526	1.36869238
527	1.368243246
528	1.368050853
529	1.367597564
530	1.367339623
531	1.366871642
532	1.366554552
533	1.366217104
534	1.365994857
535	1.365614045
536	1.365272668
537	1.364828926
538	1.364569539
539	1.364389141
540	1.36397573
541	1.363788471
542	1.363032534
543	1.362745157
544	1.362543549
545	1.362042965
546	1.361666632
547	1.361240273
548	1.360897514
549	1.360575078
550	1.36023084
551	1.359741179
552	1.359465541
553	1.359236441
554	1.358948119
555	1.358679768
556	1.358568239
557	1.358399448
558	1.358016168
559	1.357903762
560	1.357612334
561	1.357355019
562	1.357073132
563	1.356872008
564	1.356569059
565	1.356182658
566	1.35580444
567	1.355652846
568	1.355517039
569	1.355271637
570	1.355208339
571	1.354781477
572	1.354593488
573	1.35430413
574	1.353851787
575	1.353732167
576	1.353443596
577	1.353082331
578	1.352437513
579	1.352171087
580	1.351874382
581	1.35144909
582	1.35114041
583	1.35071278
584	1.350489903
585	1.350186773
586	1.349806152
587	1.349571684
588	1.34944736
589	1.34916697
590	1.348820142
591	1.348487022
592	1.348299651
593	1.348040094
594	1.347830231
595	1.347400199
596	1.347051445
597	1.34656158
598	1.346250133
599	1.345918363
600	1.34579963
601	1.345510728
602	1.345064174
603	1.344697936
604	1.344557649
605	1.344143726
606	1.343810233
607	1.343459776
608	1.343139904
609	1.342985839
610	1.34264463
611	1.342262832
612	1.341895579
613	1.341751369
614	1.341462279
615	1.341276933
616	1.340930821
617	1.340660735
618	1.340326318
619	1.339974688
620	1.339588641
621	1.339213335
622	1.33900701
623	1.338862522
624	1.338564217
625	1.338158148
626	1.337965202
627	1.337498822
628	1.337248177
629	1.336876666
630	1.336459002
631	1.336280975
632	1.336098946
633	1.335871777
634	1.335637445
635	1.335353808
636	1.334994833
637	1.334665347
638	1.33434691
639	1.333892051
640	1.333401754
641	1.333105776
642	1.332835706
643	1.332732771
644	1.332506807
645	1.332351854
646	1.332275972
647	1.332126427
648	1.331822082
649	1.331453391
650	1.331255302
651	1.330991466
652	1.330580369
653	1.330229657
654	1.329874883
655	1.329729175
656	1.329443022
657	1.329373497
658	1.329086304
659	1.32885912
660	1.328677826
661	1.328365038
662	1.327969245
663	1.327780393
664	1.32730707
665	1.327056297
666	1.326834267
667	1.326458926
668	1.326183314
669	1.32584205
670	1.325478562
671	1.325305258
672	1.324939366
673	1.324755432
674	1.324493297
675	1.324187205
676	1.323769609
677	1.323506682
678	1.322989438
679	1.322752351
680	1.32216505
681	1.321993107
682	1.321758091
683	1.321721924
684	1.321455465
685	1.321327385
686	1.321191289
687	1.320766757
688	1.320279817
689	1.320058014
690	1.319941522
691	1.319750265
692	1.319560269
693	1.319306228
694	1.319030873
695	1.318703895
696	1.318371582
697	1.318112375
698	1.317798501
699	1.317535112
700	1.317320654
701	1.317050569
702	1.31684028
703	1.316422187
704	1.316095019
705	1.31577175
706	1.315531632
707	1.315207623
708	1.314901463
709	1.314543079
710	1.314359358
711	1.3140626
712	1.313953602
713	1.313852271
714	1.313521357
715	1.313278222
716	1.313026014
717	1.312641702
718	1.312292013
719	1.311911056
720	1.311660833
721	1.311390525
722	1.311178167
723	1.311007239
724	1.310603093
725	1.31013194
726	1.309927568
727	1.309624425
728	1.309297943
729	1.309084526
730	1.308745591
731	1.308448047
732	1.308215858
733	1.307826943
734	1.30764944
735	1.307534706
736	1.307380954
737	1.306837071
738	1.306677341
739	1.306343422
740	1.30612864
741	1.305833679
742	1.305423096
743	1.304988972
744	1.304800412
745	1.304608891
746	1.304483532
747	1.304381212
748	1.304021945
749	1.303615646
750	1.303245455
751	1.302923552
752	1.302645714
753	1.302397988
754	1.302192812
755	1.30195817
756	1.301665135
757	1.301314472
758	1.301125781
759	1.300919514
760	1.300648704
761	1.300466897
762	1.299887335
763	1.29963517
764	1.299227488
765	1.299049365
766	1.298916814
767	1.298686192
768	1.298264658
769	1.297993781
770	1.29778051
771	1.297651339
772	1.297507393
773	1.296998906
774	1.296751501
775	1.296439089
776	1.296263831
777	1.296092658
778	1.296051151
779	1.295698221
780	1.295436029
781	1.295089267
782	1.294901297
783	1.294652204
784	1.294329587
785	1.294141839
786	1.29371416
787	1.29360282
788	1.293210191
789	1.292984911
790	1.292584851
791	1.292271809
792	1.292093759
793	1.291886876
794	1.291562735
795	1.291358185
796	1.291142385
797	1.290977177
798	1.290737295
799	1.290567456
800	1.290430926
801	1.290110343
802	1.289869616
803	1.289831084
804	1.289714356
805	1.289621921
806	1.289224359
807	1.289081528
808	1.288880536
809	1.288785902
810	1.288545528
811	1.288356852
812	1.288175736
813	1.28792157
814	1.287826159
815	1.287532449
816	1.287337906
817	1.287180955
818	1.286771787
819	1.286456326
820	1.286041347
821	1.285795523
822	1.285515887
823	1.285289893
824	1.284933755
825	1.284768344
826	1.284538155
827	1.284190587
828	1.28403117
829	1.283805074
830	1.283415089
831	1.283200835
832	1.283009632
833	1.282631386
834	1.28250949
835	1.282215743
836	1.281940284
837	1.281562824
838	1.281438231
839	1.281198668
840	1.281002607
841	1.280640495
842	1.280367743
843	1.280133903
844	1.279841495
845	1.279753286
846	1.279493898
847	1.279178722
848	1.279084012
849	1.278811484
850	1.278393334
851	1.278054162
852	1.277967315
853	1.277804539
854	1.277476041
855	1.277327422
856	1.276913417
857	1.276521875
858	1.276193374
859	1.275890871
860	1.275590233
861	1.275468278
862	1.275192901
863	1.274995233
864	1.274767508
865	1.274543472
866	1.274239804
867	1.274065724
868	1.273879539
869	1.273750079
870	1.27365292
871	1.273448165
872	1.273375323
873	1.273062106
874	1.272821881
875	1.272629514
876	1.272494961
877	1.272016794
878	1.27185568
879	1.271595057
880	1.271297074
881	1.270917206
882	1.270634866
883	1.270487029
884	1.270326347
885	1.2701438
886	1.270093559
887	1.270014241
888	1.269797369
889	1.269548811
890	1.269323426
891	1.269031639
892	1.268603281
893	1.268490932
894	1.268351534
895	1.268180672
896	1.267832251
897	1.267707572
898	1.267401289
899	1.267231948
900	1.267098421
901	1.266779606
902	1.266584771
903	1.266315966
904	1.266177391
905	1.265835016
906	1.265656711
907	1.265441955
908	1.265095943
909	1.264975787
910	1.264774804
911	1.264544567
912	1.264339007
913	1.264157877
914	1.263829167
915	1.263792229
916	1.263680483
917	1.263569972
918	1.263341886
919	1.263117279
920	1.262805814
921	1.262394421
922	1.262330798
923	1.262160658
924	1.26186361
925	1.261757988
926	1.261591447
927	1.261315867
928	1.261078816
929	1.260887148
930	1.260690085
931	1.260523182
932	1.260233164
933	1.259991235
934	1.259870789
935	1.259702512
936	1.259373574
937	1.25909626
938	1.258738586
939	1.258636085
940	1.258568686
941	1.258270374
942	1.25791983
943	1.257758124
944	1.25741593
945	1.256922306
946	1.256682197
947	1.256420071
948	1.256208334
949	1.256003915
950	1.255759032
951	1.255565619
952	1.255318139
953	1.255185012
954	1.25504286
955	1.254537577
956	1.254172708
957	1.254040983
958	1.253827122
959	1.253571613
960	1.253403813
961	1.253266021
962	1.253124601
963	1.252980422
964	1.252671584
965	1.252357575
966	1.252070709
967	1.251664758
968	1.251486643
969	1.251375626
970	1.251059342
971	1.25091629
972	1.250801067
973	1.250543334
974	1.25044008
975	1.250193561
976	1.249755165
977	1.24958214
978	1.249492325
979	1.249228927
980	1.248986972
981	1.24868229
982	1.248384178
983	1.248221442
984	1.247829283
985	1.247730154
986	1.247469566
987	1.24715438
988	1.24701991
989	1.24670521
990	1.246332265
991	1.246199009
992	1.246071918
993	1.245790969
994	1.245711982
995	1.24558969
996	1.245302138
997	1.245172028
998	1.24481796
999	1.244507443
